Crewed or Uncrewed,Launched?,High Temp,Low Temp,Ave Temp,Hist High Temp,Hist Low Temp,Hist Ave Temp,Percipitation at Launch Time,Hist Ave Percipitation,Wind Direction,Max Wind Speed,Visibility,Condition,target
Uncrewed,N,78.0,0.0,54.68,80.0,62.0,71.0,0.1,0.12,W,15.0,15.0,Cloudy,0
Uncrewed,N,78.0,0.0,63.68,80.0,62.0,71.0,0.0,0.11,W,25.0,7.0,Cloudy,0
Uncrewed,Y,78.0,74.0,75.19,80.0,62.0,71.0,0.0,0.12,E,21.0,10.0,Partly Cloudly,1
Uncrewed,N,80.0,73.0,76.61,80.0,61.0,71.0,0.0,0.12,E,18.0,10.0,Cloudy,0
Uncrewed,N,83.0,0.0,68.33,80.0,61.0,70.0,0.0,0.11,NE,16.0,10.0,Partly Cloudy,0
Uncrewed,N,64.0,49.0,56.22,71.0,49.0,60.0,0.0,0.07,NW,28.0,10.0,Cloudy,0
Uncrewed,N,71.0,0.0,60.17,71.0,49.0,60.0,0.0,0.06,NW,17.0,10.0,Fair,0
Uncrewed,Y,77.0,0.0,63.38,71.0,49.0,60.0,0.0,0.07,SE,18.0,10.0,Cloudy,1
Uncrewed,N,74.0,0.0,44.97,71.0,49.0,60.0,0.05,0.07,W,16.0,7.0,Rain,0
Uncrewed,N,63.0,0.0,43.97,71.0,49.0,60.0,0.0,0.07,W,21.0,7.0,Cloudy,0
Uncrewed,N,80.0,69.0,74.3,77.0,57.0,67.0,0.12,0.09,E,21.0,20.0,Thunder,0
Uncrewed,N,83.0,0.0,68.12,77.0,57.0,67.0,0.0,0.09,E,18.0,15.0,Cloudy,0
Uncrewed,Y,77.0,0.0,55.28,76.0,57.0,67.0,0.0,0.09,W,23.0,20.0,Partly Cloudy,1
Uncrewed,N,71.0,49.0,61.43,76.0,55.0,66.0,0.0,0.09,W,15.0,15.0,Cloudy,0
Uncrewed,N,79.0,0.0,64.04,76.0,56.0,66.0,0.12,0.08,NW,17.0,20.0,T-Storm,0
Uncrewed,N,85.0,0.0,69.74,74.0,53.0,64.0,0.0,0.09,W,9.0,10.0,Partly Cloudy,0
Uncrewed,N,86.0,0.0,61.25,75.0,53.0,64.0,0.0,0.09,W,13.0,10.0,Fair,0
Uncrewed,Y,80.0,0.0,60.2,75.0,53.0,64.0,0.0,0.1,NW,14.0,10.0,Partly Cloudy,1
